,main_cat,cat,sub-cat,full_sub_cat_link
38,Next season,mens-clothes,coats,https://remixshop.com/bg/pre/mens-clothes/coats
39,Next season,mens-clothes,trousers,https://remixshop.com/bg/pre/mens-clothes/trousers
40,Next season,mens-clothes,sweaters,https://remixshop.com/bg/pre/mens-clothes/sweaters
41,Next season,mens-clothes,shirts,https://remixshop.com/bg/pre/mens-clothes/shirts
42,Next season,mens-clothes,blazers,https://remixshop.com/bg/pre/mens-clothes/blazers
43,Next season,mens-clothes,sports-clothing,https://remixshop.com/bg/pre/mens-clothes/sports-clothing
44,Next season,mens-clothes,sweatshirts,https://remixshop.com/bg/pre/mens-clothes/sweatshirts
45,Next season,mens-clothes,t-shirts,https://remixshop.com/bg/pre/mens-clothes/t-shirts
46,Next season,mens-clothes,socks,https://remixshop.com/bg/pre/mens-clothes/socks
47,Next season,mens-clothes,jackets,https://remixshop.com/bg/pre/mens-clothes/jackets
48,Next season,bags,womens-bags,https://remixshop.com/bg/pre/bags/womens-bags
49,Next season,bags,bags-other,https://remixshop.com/bg/pre/bags/bags-other
50,Next season,bags,suitcases,https://remixshop.com/bg/pre/bags/suitcases
51,Next season,bags,mens-bags,https://remixshop.com/bg/pre/bags/mens-bags
52,Next season,bags,wallets,https://remixshop.com/bg/pre/bags/wallets
53,Next season,bags,backpacks,https://remixshop.com/bg/pre/bags/backpacks
54,Next season,bags,holdalls,https://remixshop.com/bg/pre/bags/holdalls
55,Next season,accessories,belts,https://remixshop.com/bg/pre/accessories/belts
56,Next season,accessories,glasses,https://remixshop.com/bg/pre/accessories/glasses
57,Next season,accessories,gloves,https://remixshop.com/bg/pre/accessories/gloves
58,Next season,accessories,watches,https://remixshop.com/bg/pre/accessories/watches
59,Next season,accessories,scarfs,https://remixshop.com/bg/pre/accessories/scarfs
60,Next season,accessories,hats,https://remixshop.com/bg/pre/accessories/hats
61,Next season,shoes,womens-shoes,https://remixshop.com/bg/pre/shoes/womens-shoes
62,Next season,shoes,kids-shoes,https://remixshop.com/bg/pre/shoes/kids-shoes
63,Next season,shoes,mens-shoes,https://remixshop.com/bg/pre/shoes/mens-shoes
64,Next season,child-clothes,swimwear,https://remixshop.com/bg/pre/child-clothes/swimwear
65,Next season,child-clothes,underwear,https://remixshop.com/bg/pre/child-clothes/underwear
